9,3.0,Ti,O,2,2,8,4,1,33,4.5,Ti,O,2,8,8,8,1
10,3.0,Ti,O,2,2,8,4,-1,34,4.5,Ti,O,2,8,8,8,-1
11,3.0,H,O,2,2,8,4,1,35,4.5,H,O,2,8,8,8,1
12,3.0,H,O,2,2,8,4,-1,36,4.5,H,O,2,8,8,8,-1
13,3.5,H,H,2,1,4,4,1,37,6.5,H,H,2,4,4,4,1
14,3.5,H,H,2,1,4,4,-1,38,6.5,H,H,2,4,4,4,-1
15,3.5,H,Ti,2,1,4,4,1,39,6.5,H,Ti,2,4,4,4,1
16,3.5,H,Ti,2,1,4,4,-1,40,6.5,H,Ti,2,4,4,4,-1
17,3.5,Ti,Ti,2,1,4,4,1,41,6.5,Ti,Ti,2,4,4,4,1
18,3.5,Ti,Ti,2,1,4,4,-1,42,6.5,Ti,Ti,2,4,4,4,-1
19,3.5,O,O,2,1,4,4,1,43,6.5,O,O,2,4,4,4,1
20,3.5,O,O,2,1,4,4,-1,44,6.5,O,O,2,4,4,4,-1
21,3.5,Ti,O,2,1,4,4,1,45,6.5,Ti,O,2,4,4,4,1
22,3.5,Ti,O,2,1,4,4,-1,46,6.5,Ti,O,2,4,4,4,-1
23,3.5,H,O,2,1,4,4,1,47,6.5,H,O,2,4,4,4,1
24,3.5,H,O,2,1,4,4,-1,48,6.5,H,O,2,4,4,4,-1
Table  S7. Parameters  of  the  angular  structural  descriptors  S5 (see  Eq.  S10) used  to describe  the,,,,,,,,,,,,,,,,,
