epoch,phase,e_rmse_mol,e_rmse_atom,f_rmse,e_mae,f_mae
46,valid,0.548392,0.045016,0.347859,0.402096,0.196659
47,train,0.727825,0.056251,0.500375,0.476942,0.18092
47,valid,0.667007,0.054148,0.342902,0.600698,0.191845
48,train,0.702666,0.051177,0.494969,0.447274,0.180531
48,valid,0.483981,0.039549,0.344938,0.418676,0.197483
49,train,0.616826,0.048164,0.477297,0.401456,0.178293
49,valid,0.398692,0.032841,0.338877,0.310661,0.188625
50,train,0.63143,0.047151,0.473793,0.393338,0.174976
50,valid,0.505056,0.041059,0.334899,0.402823,0.189443
51,train,0.577022,0.044331,0.474112,0.336879,0.175416
51,valid,0.447297,0.036536,0.333262,0.349022,0.187647
52,train,0.601428,0.045361,0.470357,0.360526,0.17405
52,valid,0.496347,0.04077,0.33113,0.441925,0.187705
53,train,0.598301,0.043633,0.468526,0.340573,0.173414
53,valid,0.426384,0.034972,0.327202,0.320392,0.185346
54,train,0.546823,0.040804,0.462871,0.298048,0.173076
54,valid,0.403761,0.033083,0.326296,0.286908,0.185345
55,train,0.522338,0.040924,0.461875,0.295913,0.170907
55,valid,0.45528,0.03739,0.323769,0.334097,0.184413
56,train,0.547985,0.042452,0.45933,0.315879,0.170807
56,valid,0.395232,0.032449,0.321432,0.295769,0.185683
57,train,0.57927,0.041761,0.458295,0.309778,0.169965
57,valid,0.442543,0.036414,0.319587,0.381882,0.183703
58,train,0.521923,0.041077,0.456799,0.308794,0.169692
58,valid,0.314071,0.025914,0.317815,0.210534,0.184421
59,train,0.522902,0.039599,0.454813,0.280338,0.16834
59,valid,0.405363,0.033147,0.315279,0.301794,0.183816
60,train,0.535534,0.03984,0.45392,0.293138,0.168187
60,valid,0.355162,0.029223,0.315114,0.244569,0.182811
61,train,0.502477,0.038085,0.453816,0.259725,0.167716
61,valid,0.324425,0.026723,0.314696,0.216471,0.182446
62,train,0.485495,0.037978,0.453043,0.256181,0.167162
62,valid,0.356622,0.029333,0.313902,0.284081,0.182503
63,train,0.508887,0.038075,0.452287,0.254028,0.166736
63,valid,0.317932,0.026213,0.313803,0.210536,0.182259
64,train,0.476694,0.037606,0.451903,0.245123,0.166293
64,valid,0.328929,0.027057,0.31328,0.225405,0.182066
65,train,0.489964,0.037496,0.451465,0.244324,0.166061
65,valid,0.313082,0.02583,0.312295,0.208009,0.18146
66,train,0.473548,0.036885,0.451417,0.239288,0.165828
66,valid,0.317124,0.026162,0.311328,0.208171,0.181422
67,train,0.477139,0.036905,0.450888,0.23519,0.16553
67,valid,0.321944,0.026564,0.310803,0.210694,0.181252
68,train,0.472549,0.036796,0.450541,0.231178,0.165409
