Wave Vector	Branch 1	Branch 2	Branch 3	Branch 4	Branch 5	Branch 6	Branch 7	Branch 8	Branch 9	Branch 10	Branch 11	Branch 12	Branch 13	Branch 14	Branch 15	Branch 16	Branch 17	Branch 18	Branch 19	Branch 20	Branch 21	Branch 22	Branch 23	Branch 24	Branch 25	Branch 26	Branch 27	Branch 28	Branch 29	Branch 30	Branch 31	Branch 32	Branch 33	Branch 34	Branch 35	Branch 36	Branch 37	Branch 38	Branch 39	Branch 40	Branch 41	Branch 42	Branch 43	Branch 44	Branch 45
0.0000000	-0.0279532504	-0.0257843374	-0.0249650773	2.3613092064	2.69380666	2.9028011358	5.173484026	5.3119978166	5.7021277315	7.5505255274	7.672947544	8.1878794384	9.2455352611	9.4567770018	9.5118524751	9.8418881503	10.4533374798	10.9959245091	11.1708346123	11.2280707456	11.3730413016	11.6485548636	12.4449929395	12.8154857812	13.9538397003	14.0883015329	18.4265936712	19.0031458028	19.2208052175	19.484839661	23.0932703805	23.3603485805	23.5781799694	23.9395048344	24.0097145339	29.6146358367	29.9941998813	30.0885780562	30.5090839769	30.9745323993	31.9333604694	32.8179185574	34.7233642239	34.7486789	35.4988405576
0.0035962	-0.1379162163	0.1769627695	0.2889717347	2.3625353431	2.6942365693	2.9142900034	5.1426395897	5.3402468324	5.6969906087	7.5377038454	7.6822103494	8.1932053795	9.2272923138	9.4374157769	9.5413192406	9.8465303175	10.4505905376	10.9895274975	11.1520939432	11.2360163385	11.3846439771	11.6517449188	12.445922842	12.8254753156	13.9490322969	14.0930956598	18.4066837116	18.977064495	19.2357475586	19.5162315117	23.0925104141	23.3568641969	23.5793001407	23.938362219	24.0099272882	29.6154735407	29.9957485909	30.089063701	30.5096290682	30.9740133932	31.9342660674	32.8217265605	34.7139612003	34.7578704295	35.5012669437
0.0071925	-0.0955781729	0.3418332977	0.5290890485	2.3658732317	2.6962770426	2.9481213502	5.0806654185	5.3943700288	5.681904865	7.5061133423	7.7035198294	8.2080312206	9.1818543363	9.4079394776	9.5924112448	9.8600647384	10.4427551639	10.9716174401	11.1119288509	11.2484119619	11.4142567005	11.6607283047	12.4495552511	12.8542674234	13.9360581428	14.1061155443	18.3520651827	18.9089676379	19.2818752797	19.5938132371	23.0901278438	23.3468771688	23.5823573104	23.9349308406	24.0105597163	29.6179024281	30.0002554958	30.0906215073	30.5112794601	30.972458456	31.9370463371	32.8330955591	34.6976936516	34.7734764593	35.5085096021
0.0107887	0.1370045301	0.5009945811	0.7735172076	2.3703762974	2.7017589555	3.002788192	5.009297841	5.4521704197	5.658091894	7.4642004359	7.7293659943	8.2291051825	9.1251466537	9.3751177365	9.6440236205	9.8815437828	10.431026393	10.9449991664	11.0637445141	11.2593048635	11.4535201976	11.6740316244	12.4577589227	12.8989554572	13.9175697055	14.1249734292	18.2732316774	18.8179987447	19.3524157722	19.6946173908	23.0857964862	23.3316268369	23.5866117105	23.9292060585	24.0115934318	29.6216858841	30.0072704535	30.0935752423	30.5140797175	30.969874668	31.9418822274	32.8518657283	34.6803009652	34.789685529	35.5204523341
0.0143850	0.2506032639	0.6571669074	1.0164196705	2.3747431328	2.712933525	3.0764633694	4.9337422056	5.5056114316	5.6295860618	7.4158322289	7.7568219998	8.2515154635	9.0690161057	9.3373154271	9.6884490599	9.9096617734	10.4173355134	10.9123850224	11.0132131342	11.2681436508	11.4972074401	11.6899721298	12.4722121716	12.9560381389	13.8955351553	14.1481685968	18.1794198818	18.7165115472	19.4374761839	19.8067787408	23.0789189647	23.3128233529	23.5912172537	23.9211974044	24.0129967675	29.6264787938	30.0159594223	30.0985153929	30.518101094	30.9662764566	31.9490456492	32.8777861283	34.6625910916	34.8055967757	35.5368820221
0.0179812	0.3509050025	0.8096750101	1.2546395209	2.3777886459	2.7320561665	3.1671477948	4.8559199723	5.5331000913	5.6176345349	7.3627088126	7.7846749307	8.2692136041	9.0221352653	9.2941224491	9.7212979503	9.9423041724	10.4042630568	10.87586214	10.9639732575	11.2748878921	11.5424199863	11.7073537924	12.4936627613	13.0221034338	13.8710883594	14.1752744733	18.0767967419	18.6101328333	19.5303400409	19.9249933836	23.0685821099	23.292438741	23.5954443065	23.9109482311	24.0147273177	29.631887474	30.0250989132	30.1062709743	30.5234356578	30.9616889981	31.9588609196	32.9105319899	34.6446591784	34.8210331079	35.5574683181
0.0215775	0.4474143554	0.9572803387	1.4857251626	2.3790865515	2.7610534096	3.2726109423	4.7771803226	5.5044532392	5.6529693714	7.3056840568	7.8118715656	8.2760427119	8.9916140961	9.2456970393	9.740471139	9.9760943576	10.3948179321	10.8373627137	10.9185883944	11.279702029	11.5870055646	11.7259486273	12.5218187139	13.0939713373	13.844905574	14.2066071804	17.9691764156	18.5013933059	19.6270631755	20.0465827584	23.053602561	23.2725675376	23.598735193	23.8985565914	24.0167382796	29.6375297951	30.0333497387	30.1176153858	30.530185488	30.9561520068	31.971660375	32.9497197063	34.6263800454	34.8360790618	35.581749093
0.0251737	0.5421317336	1.0985753274	1.7069951102	2.3796322753	2.8013217025	3.3902901853	4.6989791835	5.4521194521	5.703918571	7.2452106065	7.836971758	8.2679328878	8.9820368619	9.1923742086	9.7453770421	10.0071744794	10.391838578	10.7993289975	10.8784108365	11.2828753902	11.6286798946	11.7467536211	12.5555807533	13.1686009296	13.817493898	14.2429791008	17.8589375368	18.3915262192	19.7253338361	20.1699271188	23.0327896337	23.2551611326	23.6006651517	23.8841965227	24.0189863923	29.643081127	30.0398247216	30.1327079043	30.5384448911	30.9497231682	31.9877398223	32.9949147439	34.6075156172	34.8509951593	35.6091283215
0.0287700	0.635271018	1.2319756613	1.9143945068	2.3827424906	2.8538476246	3.5171017973	4.6232541089	5.3911153189	5.756239046	7.1815314905	7.8578339215	8.2454701027	8.9928969774	9.1352119221	9.7362082894	10.0328260148	10.3968907716	10.7646418204	10.8438140886	11.2847374749	11.6647839087	11.7718411047	12.5933622391	13.2429806472	13.7893702231	14.2855394464	17.7476232708	18.2811966762	19.8237462735	20.2938734167	23.0054140542	23.2415824452	23.6008781224	23.8681388912	24.0214387435	29.6482984588	30.0444016797	30.1508273585	30.5482744078	30.9424805538	32.0073180693	33.045630019	34.5877702666	34.8661729994	35.6388886108
0.0323662	0.7263883997	1.3556533753	2.0988972481	2.3972424184	2.9195574566	3.6489887878	4.5529422481	5.3249472568	5.8071078277	7.1148039527	7.871297411	8.2144060314	9.0114462349	9.0831051143	9.713953947	10.052462937	10.409265993	10.7358195667	10.8149561756	11.2856125436	11.6933939666	11.8029620336	12.6333574044	13.3140934048	13.7611966722	14.3356133347	17.6362844684	18.1708104472	19.9213955305	20.4175002196	22.9715462467	23.2322885673	23.5990322845	23.8507684411	24.0240766636	29.6530234925	30.0474478917	30.170727242	30.5596680503	30.9345235759	32.0305033731	33.1013149284	34.5668390835	34.8820873628	35.6702161977
