Frequency (cm⁻¹)	Intensity
0	0.0008219333249547708
2	0.0009894015992732701
4	0.0013178678966437245
6	0.0020027673855402828
8	0.0033594333577798997
10	0.005734297853554447
12	0.009255763299842165
14	0.013516805739680525
16	0.01742026847774236
18	0.019458733109713564
20	0.018848778931370325
22	0.016607880255513643
24	0.014592674996519086
26	0.014044688354455924
28	0.01499287315686907
30	0.01631147984532211
32	0.01639796562917101
34	0.014504872198696901
36	0.01137238942622866
38	0.008266662249153659
40	0.006202877093252995
42	0.0058354795197603565
44	0.007579154231913966
46	0.011613587549353955
48	0.01758135430765278
50	0.024180015390045898
52	0.029086291481463206
54	0.029824654379267738
56	0.025933754201313178
58	0.01949434740683389
60	0.01299074289407435
62	0.007944247208162508
64	0.004748665707730185
66	0.0030469281766003914
68	0.002253078394589636
70	0.0018999918669356651
72	0.0017390385267919547
74	0.001689110950766297
76	0.0017726918229699626
78	0.002106102416850953
80	0.002924185155262096
82	0.00456673118914555
84	0.007331750618298971
86	0.011176748550769009
88	0.01542005751551217
90	0.018685230865025448
92	0.01942251597670483
94	0.017275396379213697
96	0.01356824770129987
98	0.010033924127964906
100	0.007896349968338066
102	0.007643947642017266
104	0.009059070744151574
106	0.011351582916087764
108	0.013349283705156688
110	0.013915574360819133
112	0.012846820984176388
114	0.011183653612270037
116	0.010305192496191351
118	0.011135487469484093
120	0.013735292282743039
122	0.017172241179503174
124	0.01974604435625964
126	0.019802502351307233
128	0.017173373937868688
130	0.013282829391235228
132	0.009779134109805476
134	0.007790383442020368
136	0.0078099265906748944
138	0.009759725485832605
140	0.013035399117093506
142	0.016514642534415785
144	0.018714726077681168
146	0.018559498750051404
148	0.016350046076624932
150	0.01323531332101558
152	0.01027995969837778
154	0.008277475116963423
156	0.007663016286115376
158	0.008440911468378772
160	0.010183168152317939
162	0.012054496750006218
164	0.012991338577892909
166	0.01231780255395685
168	0.01037743931671077
170	0.008063782187174112
172	0.006092631608792129
174	0.0047785821934209155
176	0.004097649003028753
178	0.0038657599202853096
180	0.0038973469513286624
182	0.0040734332555135535
184	0.004339307494914327
186	0.004679693296464728
188	0.005099535049556554
190	0.005616825200431454
192	0.006268949702528763
194	0.007145930488600503
196	0.008491255163235454
198	0.010937280423948198
200	0.015894563854518536
202	0.02587112272075651
204	0.04409237287595939
206	0.0727291712472698
208	0.11000214824367663
210	0.14791492141067883
212	0.1728540909586093
214	0.17270036522919202
216	0.1494508455841198
218	0.11840027397409555
220	0.09684519415184312
222	0.09933885939379537
224	0.13659878597668637
226	0.21269562617725216
228	0.3191001410286244
230	0.42928575232887767
232	0.500568453405106
234	0.4947593910385095
236	0.41515927976989997
238	0.3022026730066003
240	0.19560873511820617
242	0.11685905383321406
244	0.06921568524112816
246	0.045337192393804245
248	0.03590011672168347
250	0.034624296941618046
252	0.03985455273796388
254	0.055311180242692055
256	0.0914339133916921
258	0.1655080187944171
260	0.2959816848785247
262	0.48813301743877013
264	0.7164725449182205
266	0.9163807130645716
268	1
270	0.9193269832275541
272	0.7204288416809462
274	0.4911293112807236
276	0.29687739442836864
278	0.16400217230978476
280	0.08769736801034043
282	0.04953108032087898
284	0.03187094395021649
286	0.023498790853512874
288	0.01893276405901168
290	0.015960637584773785
292	0.013780393594535237
294	0.012090762893150604
296	0.010752978740538948
298	0.009686258779216424
300	0.008837493534181132
302	0.008171322963646917
304	0.007666775963865307
306	0.007319856840397596
308	0.007160765371888721
310	0.007309637131746068
312	0.008109937624222952
314	0.010353004155090259
316	0.01546920313929461
318	0.025324484780693234
320	0.04121083068654446
322	0.06216018073768519
324	0.08358315033920599
326	0.09752696759068101
328	0.09661606260146967
330	0.08129599718442747
332	0.05929968583492089
334	0.038351910566047094
336	0.022680393531547494
338	0.012968406213604705
340	0.007800219109353152
342	0.005315257768384099
344	0.0041352978737310446
346	0.003511381485221609
348	0.0031178051423861315
350	0.0028341260016511104
352	0.0026222100396393164
354	0.0024804001609145163
356	0.002436292164703258
358	0.002548961166690108
360	0.002895117442456995
362	0.003519951885549774
364	0.004362197271809378
366	0.005200081590832782
368	0.005675358604937785
370	0.005490831547581432
372	0.004714820860382543
374	0.003698793480599441
376	0.0027640325614395147
378	0.0020740039912714304
380	0.0016431462425287333
382	0.0014038061955881967
384	0.0012758990794231701
386	0.0012026400613905112
388	0.0011540306389147385
390	0.0011172444410844121
392	0.0010875016499488246
394	0.0010630688334729726
396	0.001043250318401773
398	0.0010277400966094263
400	0.0010164399219888306
402	0.001009411995379616
404	0.001006872245727072
406	0.0010092030057616106
408	0.0010169825624810778
410	0.0010310348039415447
412	0.0010525063721838598
414	0.001082985894855348
416	0.0011247022393794809
418	0.0011809363667464308
420	0.0012572041900110328
422	0.0013652899334721834
424	0.001536326260280464
426	0.001856190970445608
428	0.002538584556065021
430	0.004023722635170171
432	0.007010001064137087
434	0.01223985093951121
436	0.019932785275336803
438	0.029082749959713754
440	0.037120103269498717
442	0.04053688093393497
444	0.037395399270176176
446	0.029517664833399456
448	0.020423005248578346
450	0.012766074204516323
452	0.007682650898674538
454	0.005137630083216782
456	0.004633774511711998
458	0.005715955948022424
460	0.008004241181467826
462	0.010930332773247068
464	0.013527585504542932
466	0.014575197677594685
468	0.01342004808715845
470	0.010688775556680088
472	0.007567306008283037
474	0.004936141002509834
476	0.003147025570039233
478	0.002132455640416221
480	0.0016428713071446866
482	0.0014411290395563707
484	0.001377724117504078
486	0.0013813932427618734
488	0.0014259960825984055
490	0.0015059648707031624
492	0.001625299264151786
494	0.0017969029528945412
496	0.0020544810223329887
498	0.0024930680024947763
500	0.0033706583475040797
502	0.005293800432950626
504	0.009413047385194185
506	0.01735167081119485
508	0.030478125514867723
510	0.048488262163359705
512	0.06804329849908061
514	0.08259118297203365
516	0.08496439788786242
518	0.07375472944605654
520	0.054984062650887754
522	0.03590684367331701
524	0.020990613836341952
526	0.011424635598649726
528	0.00621503494174542
530	0.0037019395878955786
532	0.0025458698351653064
534	0.001976854763995142
536	0.001645485876040895
538	0.0014174652824240413
540	0.0012444104344800583
542	0.0011070269855161673
544	0.0009954782708839133
546	0.0009035370145747956
548	0.0008268219057349658
550	0.000762118008288602
552	0.0007070154565795222
554	0.0006596794483619886
556	0.0006186939526007694
558	0.0005829526205590486
560	0.0005515812909931311
562	0.000523882101969515
564	0.0004992926251066522
566	0.00047735560079978357
568	0.0004576962579689987
570	0.0004400051301215636
572	0.0004240249022952336
574	0.0004095402473200867
576	0.0003963699022403575
578	0.00038436044001677626
580	0.00037338133604953704
582	0.0003633210323120179
584	0.00035408377648598585
586	0.00034558706793159954
588	0.00033775958243671916
590	0.00033053947751257573
592	0.0003238730023715385
594	0.00031771335364577544
596	0.00031201973081962153
598	0.0003067565552914811
600	0.0003018928247105709
602	0.00029740158030862335
604	0.00029325946978438634
606	0.00028944639221629065
608	0.00028594521472185186
610	0.00028274155334768206
612	0.00027982361312557506
614	0.0002771820845136798
616	0.00027481009569696793
618	0.00027270322259446896
620	0.0002708595610793114
622	0.0002692798690676011
624	0.00026796779004266066
626	0.0002669301746189238
628	0.00026617752343017164
630	0.00026572458369136006
632	0.0002655911443189338
634	0.00026580309212152764
636	0.0002663938167442691
638	0.0002674060885372829
640	0.0002688945872143281
642	0.0002709293394292527
644	0.00027360044539083775
646	0.00027702466390593534
648	0.00028135473092539464
650	0.0002867928467805979
652	0.0002936111939175009
654	0.00030218773638058513
656	0.000313088685857756
658	0.00032731788184713257
660	0.0003471248934013278
662	0.0003783588525703494
664	0.0004360600663727626
666	0.0005544185284273499
668	0.0007977798325010899
670	0.0012604745682554027
672	0.0020373502636922714
674	0.0031575536020515397
676	0.004502140657339078
678	0.0057604548666036065
680	0.006534613487012914
682	0.006573653240977628
684	0.005898385062659444
686	0.004819917042451599
688	0.0037009829147991286
690	0.0027276404691425928
692	0.0019461183609233372
694	0.0013617171586464154
696	0.0009584829979008101
698	0.0007091689264389692
700	0.0005883070138432918
702	0.000578118022022426
704	0.0006683265394769595
706	0.0008448629641025726
708	0.0010706520887170732
710	0.001273377261173301
712	0.0013584743602424569
714	0.001272761851666047
716	0.0010624538268096217
718	0.0008197054686259106
720	0.0006140862791450834
722	0.00047411776856060787
724	0.0003953342117605135
726	0.00035873555279795634
728	0.0003464765128107094
730	0.0003489974068958729
732	0.00036685913105278254
734	0.000412337490726728
736	0.0005111438551112538
738	0.0006980182861009513
740	0.0009979623813043653
742	0.0013946729986275821
744	0.001804380492237847
746	0.002079254561678621
748	0.0020783494158403155
750	0.001804163906504851
752	0.0013996760240447647
754	0.001011499619828233
756	0.0007214485576439277
758	0.0005442964652732655
760	0.0004543855894124908
762	0.00041692623416344273
764	0.00040600211835352444
766	0.0004078853687877196
768	0.00041791252918513196
770	0.0004382391709054747
772	0.00047977012957375447
774	0.000568085595795128
776	0.0007481931635462434
778	0.0010761638205385859
780	0.001585944431740047
782	0.0022380726406647368
784	0.002882369883372203
786	0.0032739450544779893
788	0.0032079545658069853
790	0.002729896588906101
792	0.0020817205706007208
794	0.0014858759327360793
796	0.0010563942136798813
798	0.0008044730878164493
800	0.0006843944877172589
802	0.0006416191102159321
804	0.0006376421928077539
806	0.0006526198553595529
808	0.0006790517559422241
810	0.0007163629679428191
812	0.0007700348509814318
814	0.0008563620162503454
816	0.0010125345070553329
818	0.001306092461152296
820	0.001827099903513754
822	0.0026432998389873444
824	0.0037230643730486925
826	0.004874454883444741
828	0.005768357536701889
830	0.0061515854644698924
832	0.006257624907397064
834	0.00686824149647978
836	0.008910487645110664
838	0.012981375081084729
840	0.01884067677734895
842	0.02507334160489418
844	0.029244893322699497
846	0.029114349997799847
848	0.024796090670910445
850	0.018608995933114127
852	0.012915256815428213
854	0.009110058188985836
856	0.0076505800512019165
858	0.008481314650124777
860	0.01138340168759106
862	0.015881662038824018
864	0.020864088459999267
866	0.024462164874835716
868	0.02476865265004002
870	0.0215629532243011
872	0.01656691302762583
874	0.01175062111462392
876	0.008401266266351685
878	0.007172504732660994
880	0.008594386173193507
882	0.01356574194324106
884	0.023234488115611362
886	0.03798037653438526
888	0.05596307416405087
890	0.07229540297387232
892	0.08002062407301862
894	0.07476344150063412
896	0.059557705087730624
898	0.04133876131079965
900	0.025558581852821557
902	0.01458114585429898
904	0.008195917551481429
906	0.004982130487166375
908	0.0035063236442370157
910	0.002829827739846699
912	0.002484459297999476
914	0.0022787015456667103
916	0.0021430284547792823
918	0.0020519301738005564
920	0.001994317232256863
922	0.0019643039027437037
924	0.0019586530232951352
926	0.0019763220307699686
928	0.0020196044040307983
930	0.0020988905940069755
932	0.002245806648800859
934	0.0025398253357606917
936	0.003142510378400074
938	0.004304025892467748
940	0.0062784318215236175
942	0.009116759826811278
944	0.012425084794673155
946	0.015266156554020277
948	0.016424399918669036
950	0.015341065090772172
952	0.012795291192204654
954	0.010103972413914038
956	0.008265275906422636
958	0.007702969218469025
960	0.00828773187753579
962	0.009490739403390677
964	0.010579744450627171
966	0.010913851784979342
968	0.010403648934561164
970	0.009517678317454564
972	0.008795740763120986
974	0.008589630099745633
976	0.009046590869457263
978	0.010186786613027491
980	0.011990731789978165
982	0.014479074097524044
984	0.017903560515324053
986	0.023308988352851695
988	0.033763824159173665
990	0.05592412662592594
992	0.10039748374748066
994	0.17877089040983907
996	0.2959022506786342
998	0.4397907868705424
1000	0.5752766378856848
1002	0.6516213257218421
1004	0.6354380497411896
1006	0.5371880360761476
1008	0.398189501642242
1010	0.2636234168387003
1012	0.1608837099027335
1014	0.09616676727737303
1016	0.062395001357965385
1018	0.048488596593260415
1020	0.045074414349966375
1022	0.046059559584888755
1024	0.04883705900624141
1026	0.055458280122753285
1028	0.07277323665231046
1030	0.1090515464073667
1032	0.16827198611330638
1034	0.24377194442867625
1036	0.3148536786509685
1038	0.3509420914757693
1040	0.3312294269552535
1042	0.26704977866423063
1044	0.18835474784242748
1046	0.1193224822304887
1048	0.07053578717524485
1050	0.0411498297813709
1052	0.025194821226922643
1054	0.01681700745598793
1056	0.012228019653812297
1058	0.009510782200876856
1060	0.0077963884240691665
1062	0.006666578740030727
